ano,link,paragrafos_resgatados
2001,http://www1.folha.uol.com.br/fsp/equilibrio/eq0802200113.htm,"['Doenças graves, como esquizofrenia, que exigem acompanhamento médico constante são tratadas pela psiquiatria convencional. Mas é possível lançar mão de ação conjunta. A homeopatia tem tido sucesso no tratamento de depressão e síndrome do pânico.']"
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u2546.shtml,"['Folha Online - Ciência - Roche e deCODE anunciam avanços na pesquisa sobre esquizofrenia - 14/02/2001 11h22', 'Os grupos suíço Roche e islandês deCODE anunciaram hoje um ""importante avanço"" na pesquisa sobre esquizofrenia e doenças arteriais.']"
2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq1702200121.htm,"['Não é um caso de patologia clínica, como disseram, mas fenômeno de patologia literária. Na história da esquizofrenia, já tivemos escritores e pintores geniais. Não é o caso de Qorpo Santo.']"
2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u10685.shtml,"['Não é um caso de patologia clínica, como disseram, mas fenômeno de patologia literária. Na história da esquizofrenia, já tivemos escritores e pintores geniais. Não é o caso de Qorpo Santo.']"
2001,http://www1.folha.uol.com.br/fsp/folhatee/fm1902200117.htm,"['A paranóia está normalmente relacionada à esquizofrenia, uma doença rara entre adolescentes']"
2001,http://www1.folha.uol.com.br/fsp/folhatee/fm1902200116.htm,"['Enquanto a ""nóia"" é muito comum entre adolescentes, a paranóia é uma doença rara entre jovens e está normalmente relacionada à esquizofrenia -distúrbio mental que atinge 1% da população adulta mundial- e ao uso de drogas como cocaína, crack e maconha.', 'Segundo o coordenador do Projesq (Projeto Esquizofrenia) do Instituto de Psiquiatria do HC, Hélio Elkis, o que existe na adolescência são ""idéias paranóides"" -a mais frequente é a sensação de perseguição contínua.']"
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u2709.shtml,"['Folha Online - Ciência - Computador detecta sinais precoces de esquizofrenia - 22/02/2001 13h20', 'Pesquisadores canadenses desenvolveram um exame de computador para diagnosticar esquizofrenia antes que apareçam os sintomas da doença, informa reportagem na última edição da revista ""New Scientist"".', '""Um dos grandes desafios na esquizofrenia é o diagnóstico. A doença pode levar vários anos para se tornar clara"", disse o especialista à revista semanal.', 'O exame procura no fluxo sanguíneo de certas áreas do cérebro as características específicas dos esquizofrênicos. Determinadas regiões cerebrais sofrem alterações em pessoas com a doença.', 'O diagnóstico precoce e o tratamento da esquizofrenia podem melhorar o prognóstico dos pacientes com a enfermidade, forma mais comum de doença mental grave.', 'A causa da esquizofrenia não é conhecida, mas os cientistas sabem que afeta substâncias químicas no cérebro e que há uma associação biológica que predispõe uma pessoa à doença.']"
2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq0203200103.htm,"['E o Don Doca FHC, que veio visitar o Covas no Incor: ""Quem está aqui não é o presidente, é o amigo"". Prega a esquizofrenia! Não é o presidente? Então desliga as câmeras e vai todo mundo embora. E o procurador que diz que pisou nas fitas do ACM? Típico de gente atacada. Fica com raiva, pisa em cima. Piso, piso, piso!']"
2001,http://www1.folha.uol.com.br/fsp/ciencia/fe1403200101.htm,"['""Queremos saber se a psilocibina pode mesmo reduzir sintomas e, caso possa, quanto uma pessoa precisa tomar"", disse Moreno. Na Universidade de Zurique, Suíça (país onde foi inventado o LSD), Franz Vollenweider tem permissão do governo para explorar alucinógenos no tratamento da esquizofrenia. ""Estamos interessados na natureza da consciência de si próprio que guia o comportamento humano"", disse.']"
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u2941.shtml,"['de Zurique, Suíça (país onde foi inventado o LSD), Franz Vollenweider tem permissão do governo para explorar alucinógenos no tratamento da esquizofrenia. ""Estamos interessados na natureza da consciência de si próprio que guia o comportamento humano"", disse.']"
2001,http://www1.folha.uol.com.br/fsp/ombudsma/om1803200101.htm,"['2) a ascensão ao governo de um setor identificado com a Folha nos anos 70 e 80 (o tucanato) e o seu engajamento num projeto oposto às idéias de 20 anos atrás teriam criado, diz o caderno, uma ""esquizofrenia"" nas relações do jornal com o poder;']"
