ano,links,nome,paragrafos_resgatados,indice,paragrafos_tratados_sw
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/brasil-pede-hospitaliza%C3%A7%C3%A3o-de-brasileiro-condenado-%C3%A0-morte-na-indon%C3%A9sia-1.164680,esquizofrenia,"['A Embaixada do Brasil em Jacarta pediu nesta terça-feira para que o brasileiro Rodrigo Gularte, que aguarda execução no corredor da morte na Indonésia, seja hospitalizado por ter sido diagnosticado com esquizofrenia. Fontes diplomáticas disseram à agência de notícias EFE que pediram à Procuradoria da indonésia para que Gularte, condenado à pena capital depois de ter sido detido com 19 quilos de cocaína, dê entrada em um hospital psiquiátrico, o que evitaria sua execução.', '“(Ele) está mentalmente doente, diagnosticaram-lhe com esquizofrenia. Segundo a lei indonésia, uma pessoa doente não pode ser executada”, disse um funcionário da embaixada brasileira, que não quis ser identificado. Segundo a representação diplomática brasileira, Gularte está sendo “bem tratado” na prisão e conta com ajuda diplomática, bem como de familiares que se encontram na Indonésia.']",53,"['embaixada brasil jacarta pediu brasileiro rodrigo gularte aguarda execução corredor morte indonésia seja hospitalizado sido diagnosticado esquizofrenia fontes diplomáticas disseram agência notícias efe pediram procuradoria indonésia gularte condenado pena capital sido detido quilos cocaína dê entrada hospital psiquiátrico evitaria execução', 'mentalmente doente esquizofrenia lei indonésia pessoa doente executada disse funcionário embaixada brasileira quis identificado representação diplomática brasileira gularte sendo tratado prisão conta ajuda diplomática familiares encontram indonésia']"
2015,https://www.correiodopovo.com.br/blogs/cinecp/intenso-e-sequencial-1.300448,esquizofrenia,"['Com sinais de esquizofrenia, já que houve vozes, principalmente do herói que interpretava, e acreditar ter o poder de mover objetos, Thomson sofre para produzir a peça, já que primeiramente se vê trabalhando com um ator medíocre, que por milagre consegue substituir. Só que o substituto é o egocêntrico e desagregador Mike Shiner (Edward Norton, excelente). Ele ainda tem de lidar com a filha rebelde e carente, Sam (Emma Stone) e a namorada, que reclama de sua apatia, Laura (Andrea Riseborough) e o assistente nervoso, Brandon (Zach Galifianakis).']",54,['sinais esquizofrenia houve vozes principalmente herói interpretava acreditar mover objetos thomson sofre produzir peça primeiramente vê trabalhando ator medíocre milagre consegue substituir substituto egocêntrico desagregador mike shiner edward norton excelente lidar filha rebelde carente sam emma stone namorada reclama apatia laura andrea riseborough assistente nervoso brandon zach galifianakis']
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/vida-de-brasileiro-na-indon%C3%A9sia-est%C3%A1-nas-m%C3%A3os-dos-m%C3%A9dicos-1.163833,esquizofrenia,"['Rodrigo Gularte poderá escapar de fuzilamento se psiquiatras atestarem esquizofrenia', 'Brasileiro poderá se salvar do pelotão de fuzilamento se psiquiatras atestarem que ele sofre de esquizofrenia', 'por tráfico de drogas. A esperança é que Gularte possa ser poupado do pelotão de fuzilamento, caso seja transferido para um hospital psiquiátrico, já que foi diagnosticado que ele sofre de esquizofrenia. “Já existe um laudo atestando que ele tem a doença”, disse a advogada Andreia Sarmento, defensora do brasileiro. “A família está procurando médicos indonésios para fazerem outras avaliações e atestarem que ele está doente”, comentou.']",55,"['rodrigo gularte escapar fuzilamento psiquiatras atestarem esquizofrenia', 'brasileiro salvar pelotão fuzilamento psiquiatras atestarem sofre esquizofrenia', 'tráfico drogas esperança gularte possa poupado pelotão fuzilamento caso seja transferido hospital psiquiátrico diagnosticado sofre esquizofrenia existe laudo atestando doença disse advogada andreia sarmento defensora brasileiro família procurando médicos indonésios fazerem avaliações atestarem doente comentou']"
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/indon%C3%A9sia-nega-pedido-de-clem%C3%AAncia-para-rodrigo-gularte-1.163615,esquizofrenia,"['Diagnosticado com esquizofrenia, Gularte poderia evitar a execução com uma transferência para um hospital psiquiátrico, como prevê a lei. Clarisse Gularte, mãe de Rodrigo, que visitou o filho em agosto de 2014, contou que ele está ""totalmente transformado"" e 15 quilos mais magro. ""Reconheço que Rodrigo cometeu um erro, mas não se justifica a pena de morte. Não foi um crime tão grave. Ele está preso há mais de dez anos e acredito que já pagou o suficiente.""']",56,['diagnosticado esquizofrenia gularte poderia evitar execução transferência hospital psiquiátrico prevê lei clarisse gularte mãe rodrigo visitou filho agosto contou totalmente transformado quilos magro reconheço rodrigo cometeu erro justifica pena morte crime grave preso há anos acredito pagou suficiente']
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/m%C3%A3e-pedir%C3%A1-ao-papa-francisco-para-que-filho-n%C3%A3o-seja-executado-1.163610,esquizofrenia,"['Clarisse já fez oito visitas nos últimos dez anos, desde que ele foi preso. Na última , em agosto do ano passado, ela percebeu que Gularte estava muito transtornado. Com o apoio da\xa0Embaixada Brasileira na Indonésia, ela solicitou avaliação psiquiátrica às autoridades locais e os médicos constataram esquizofrenia.', 'Adriana Gularte, irmã mais velha, chegou a fazer um apelo à Anistia Internacional. ""Ele está mentalmente doente, a Embaixada providenciou tratamento psicológico para ele, de onde resultou\xa0laudo médico que atesta esquizofrenia. O Itamaraty dispõe desses laudos e demais informações. Venho por meio desta carta fazer um pedido de socorro, urgente, para que esta organização de\xa0Anistia Internacional interceda ao governo da Indonésia"", escreveu em carta.']",57,"['clarisse visitas últimos anos preso última agosto ano passado percebeu gularte transtornado embaixada brasileira indonésia solicitou avaliação psiquiátrica autoridades locais médicos constataram esquizofrenia', 'adriana gularte irmã velha chegou apelo anistia internacional mentalmente doente embaixada providenciou tratamento psicológico resultou laudo médico atesta esquizofrenia itamaraty dispõe desses laudos informações venho carta pedido socorro urgente organização anistia internacional interceda governo indonésia escreveu carta']"
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/embaixador-do-brasil-na-indon%C3%A9sia-se-apresenta-segunda-feira-no-itamaraty-1.163415,esquizofrenia,"['O Itamaraty está oferecendo assistência psicológica a Rodrigo Muxfeldt Gularte, como fez com Archer, e confirma que levou às autoridades indonésias pedido da família do paranaense para que seja analisada\xa0a grave situação de saúde dele. Segundo o jornal Gazeta do Povo, do Paraná, uma prima de Gularte foi ao país asiático para levar às autoridades um laudo que atesta que o paranaense sofre de esquizofrenia e\xa0que, por isso, precisaria ser internado em um hospital psiquiátrico. Os familiares acham que isso poderia, ao menos, adiar a sua execução.']",58,['itamaraty oferecendo assistência psicológica rodrigo muxfeldt gularte archer confirma levou autoridades indonésias pedido família paranaense seja analisada grave situação saúde dele jornal gazeta paraná prima gularte país asiático levar autoridades laudo atesta paranaense sofre esquizofrenia precisaria internado hospital psiquiátrico familiares acham poderia adiar execução']
2015,https://www.correiodopovo.com.br/not%C3%ADcias/geral/cientista-comemora-decis%C3%A3o-da-anvisa-e-espera-amplia%C3%A7%C3%A3o-de-pesquisas-com-maconha-1.163231,esquizofrenia,"['De acordo com Malcher, o extrato de cada uma dessas plantas pode ser usado para tratar doenças específicas, como psicose, esquizofrenia, ansiedade, inflamações crônicas, esclerose, epilepsia e até mesmo câncer, dado que algumas substâncias têm o poder de evitar a proliferação de células doentes.']",59,['acordo malcher extrato dessas plantas usado tratar doenças específicas psicose esquizofrenia ansiedade inflamações crônicas esclerose epilepsia câncer dado substâncias evitar proliferação células doentes']
2015,https://www.correiodopovo.com.br/blogs/juremirmachado/sartori-sempre-teve-um-programa-privatizar-1.311470,esquizofrenia,"['O Rio Grande do Sul vive de esquizofrenia: a cada quatro anos troca de ideologia, de método e de programa. Num período, aposta no desenvolvimento conduzido pelo Estado com base em endividamento; no outro, faz o contrário, joga suas fichas no neoliberalismo baseado na redução do tamanho do Estado e nas privatizações. Faz parte do jogo. Só não se diga que o programa de Sartori não existia. Ele era tão claro e conhecido que não precisava ser enunciado e anunciado. Eis.']",60,['rio sul vive esquizofrenia anos troca ideologia método programa período aposta desenvolvimento conduzido base endividamento outro contrário joga fichas neoliberalismo baseado redução tamanho privatizações jogo diga programa sartori existia claro precisava enunciado anunciado eis']
2015,https://www.correiodopovo.com.br/arteagenda/o-turista-que-aprende-com-o-outro-por-beatriz-sarlo-e-alexandra-coelho-1.176935,esquizofrenia,"['Alexandra disse que se preparou toda a vida para vir ao Brasil e que já o conhecia por muitas referências da passagem da infância para a adolescência, mas principalmente pela música de João Gilberto (foi o primeiro vinil que ouviu quando criança), Caetano Veloso e Chico Buarque e pela literatura de Jorge Amado, Erico Verissimo, José Lins do Rego, Guimarães Rosa, entre outros. ""O resultado foi que vim ao Brasil quando eu já tinha mais de 40 anos, em 2010, para cobrir a eleição de sucessão de Lula para o jornal Público. Talvez por já ser mais madura eu já estava liberta desta esquizofrenia da culpa ou da arrogância do colonizador português. A identidade de uma pessoa está sempre em movimento e no Brasil eu apreciei o sublime na monotonia, que Mário de Andrade descrevia em relação ao Amazonas e também convivi com a cobertura jornalística e a extrema violência do Rio de Janeiro, tema do livro que estou escrevendo atualmente"", observou a jornalista portuguesa de 47 anos.']",61,['alexandra disse preparou vida vir brasil conhecia muitas referências passagem infância adolescência principalmente música joão gilberto vinil ouviu criança caetano veloso chico buarque literatura jorge amado erico verissimo josé lins rego guimarães rosa resultado vim brasil tinha anos cobrir eleição sucessão lula jornal público madura liberta esquizofrenia culpa arrogância colonizador português identidade pessoa movimento brasil apreciei sublime monotonia mário andrade descrevia amazonas convivi cobertura jornalística extrema violência rio janeiro tema livro escrevendo atualmente observou jornalista portuguesa anos']
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/lutador-de-artes-marciais-decapita-idosa-por-achar-que-era-hitler-1.176008,esquizofrenia,"['Durante o violento ataque, dois gatos também foram mortos. A polícia finalmente conseguiu encurralá-lo e levá-lo preso. Dois psiquiatras concordaram que o homem sofre de esquizofrenia paranoica. Ela acreditava que a idosa que assassinou era a encarnação de Adolf Hitler ou de um demônio.']",62,['durante violento ataque gatos mortos polícia finalmente conseguiu preso psiquiatras concordaram homem sofre esquizofrenia paranoica acreditava idosa assassinou encarnação adolf hitler demônio']
